lesson,lesson_raw,expression,reading,meaning,decision,target_theme,notes
5,5,六日,六[むい]日[か],"six, six days",,,
5,5,十四日,十[じゅう]四[よっ]日[か],"fourteenth, fourteen days",,,
5,5,十日,十[とう]日[か],"tenth, ten days",,,
5,5,四日,四[よっ] 日[か],"fourth, four days",,,
5,5,廿日,廿[はつ] 日[か],"twentieth, twenty days",,,
6,6,いいですね。,いいですね。,That's good.,,,
6,6,ええ,ええ,yes,,,
6,6,じゃ、また［あした］。,じゃ、また［あした］。,See you [tomorrow].,,,
6,6,わかりました。,わかりました。,"I see, I understood.",,,
6,6,メキシコ,メキシコ,Mexico,,,
6,6,何ですか。,何[なん]ですか。,Yes? (lit. What is it?),,,
6,6,見ます,見[み]ます,"To see, look at, watch",,,
6,6,食べます,食[た]べます,To eat,,,
7,7,あげます,あげます,To give,,,
7,7,いただきます,いただきます,Thank you./I accept. (said before starting to eat or drink),,,
7,7,いらっしゃい。,いらっしゃい。,How nice of you to come. (lit. Welcome.),,,
7,7,かけます［電話を～］,かけます［ 電話[でんわ]を~］,make [a phone call],,,
7,7,ごちそうさま［でした］。,ごちそうさま［でした］。,That was delicious. (said after eating or drinking),,,
7,7,どうぞ　お上がり　ください,どうぞ　お 上[あ]がり　ください,Do come in.,,,
7,7,クリスマス,クリスマス,Christmas,,,
7,7,ケータイ （でんわ）,ケータイ（でんわ）,"mobile phone, cell phone",,,
7,7,シャツ,シャツ,shirt,,,
7,7,スパイン,スパイン,Spain,,,
7,7,スプーン,スプーン,spoon,,,
7,7,セロテープ,セロテープ,"Sellotape, Scotch tap, clear adhesive tap",,,
7,7,ナイフ,ナイフ,knife,,,
7,7,パソコン,パソコン,personal computer,,,
7,7,パンチ,パンチ,punch,,,
7,7,フォーク,フォーク,fork,,,
7,7,プレゼント,プレゼント,"present, gift",,,
7,7,ホッチキス,ホッチキス,stapler,,,
7,7,メール,メール,e-mail,,,
7,7,失礼します。,失礼[しつれい]します。,May I? (lit. I commit an incivility.),,,
7,7,［～、］すてきですね。,［~、］すてきですね。,What a nice [~]!,,,
7,7,［～は］いかがですか。,［~は］いかがですか。,Won't you have [~]?/Would you like to have [~]? (used when offering something),,,
8,8,いいえ。,いいえ。,Not at all.,,,
8,8,おげんきですか。,おげんきですか。,How are you?,,,
8,8,そろそろ　失礼します。,そろそろ　 失礼[しつれい]します。,It's time I was going.,,,
8,8,なら　こえん,なら　こえん,Nara Park,,,
8,8,また　いらっしゃって　ください。,また　いらっしゃって　ください。,Please come again.,,,
8,8,もう　～です［ね］。,もう　~です［ね］。,"It's already ~ [,isn't it?]",,,
8,8,シャンハイ　上海,シャンハイ　 上海[しゃんはい],Shanghai,,,
8,8,レストラン,レストラン,restaurant,,,
8,8,大きく［な］,大[おお]きく［な］,"big, large",,,
8,8,富士山,富士山[ふじさん],Mt. Fuji,,,
8,8,暑い、熱い,暑[あつ]い、 熱[あつ]い,hot,,,
8,8,金閣寺,金閣寺[きんかくじ],Kinkakuji Temple (the Golden Pavilion),,,
8,8,静かに［な］,静[しず]かに［な］,quiet,,,
8,8,［〜、］もう　一杯　いかがですか。,［〜、］もう　一杯[いっぱい]　いかがですか。,Won't you have another cup of [~]?,,,
8,8,［いいえ、］けっこうです。,［いいえ、］けっこうです。,"No, thank you.",,,
8,8,～が、～,~が、~,"~, but ~",,,
9,9,〜から,〜から,because ~,,,
9,9,ああ,ああ,oh,,,
9,9,いいですよ。,いいですよ。,Sure./Certainly.,,,
9,9,いっしょに　いかがですか。,いっしょに　いかがですか。,Won't you join me (us)?,,,
9,9,かたかな,かたかな,katakana script,,,
9,9,ざんねんです［が］,ざんねんです［が］,"I'm sorry [,but], unfortunately",,,
9,9,だめですか。,だめですか。,So you can't (come)?,,,
9,9,ひらがな,ひらがな,hiragana script,,,
9,9,また　今度　お願いします。,また　 今度[こんど]　お 願[ねが]いします。,"Please ask me again some other time. (used when refusing an invitation indirectly, considering someone's feelings)",,,
9,9,アルバイト,アルバイト,side job (～を　します：to work part-time),,,
9,9,カラオケ,カラオケ,karaoke,,,
9,9,クラシック,クラシック,classical music,,,
9,9,コンサート,コンサート,concert,,,
9,9,ジャズ,ジャズ,jazz,,,
9,9,スポーツ,スポーツ,sport (～を　します：play sports),,,
9,9,ダンス,ダンス,Dance (～を　します：to dance),,,
9,9,チケット,チケット,ticket,,,
9,9,ローマ字,ローマ字[ろーまじ],the Roman alphabet,,,
9,9,上手です［な］,上手[じょうず]です［な］,good at,,,
9,9,夫／主人,夫[おっと]／ 主人[しゅじん],(my) husband,,,
9,9,妻／家内,妻[つま]／ 家内[かない],(my) wife,,,
9,9,字,字[じ],"letter, character",,,
9,9,早く、速く,早[はや]く、 速[はや]く,"early, quickly, fast",,,
9,9,歌舞伎,歌舞伎[かぶき],Kabuki (traditional Japanese musical drama),,,
9,9,貸して　ください。,貸[か]して　ください。,Please lend (it to me).,,,
10,10,ATM,ATM,"cash machine, ATM (Automatic Teller Machine)",,,
10,10,いちばん　下,いちばん　 下[した],the bottom,,,
10,10,います,います,"to exist, be (referring to animate things)",,,
10,10,とうきょう　デズニーランド,とうきょう　デズニーランド,Tokyo Disneyland,,,
10,10,コンビニ,コンビニ,convenience store,,,
10,10,コーナー,コーナー,"corner, section",,,
10,10,スイッチ,スイッチ,switch,,,
10,10,テーブル,テーブル,table,,,
10,10,ドア,ドア,door,,,
10,10,ナンプラー,ナンプラー,nam pla (fish sauce),,,
10,10,パンダ,パンダ,panda,,,
10,10,ベッド,ベッド,bed,,,
10,10,ポスト,ポスト,"postbox, mailbox",,,
10,10,女の 人,女[おんな]の 人[ひと],woman,,,
10,10,棚,棚[たな],shelf,,,
10,10,犬,犬[いぬ],dog,,,
10,10,猫,猫[ねこ],cat,,,
10,10,男の　人,男[おとこ]の　 人[ひと],man,,,
10,10,［どうも］　すみません。,［どうも］　すみません。,Thank you.,,,
10,10,～や　～［など］,~や　~［など］,"~, ~, and so on",,,
10,10,～屋,~ 屋[や],"~ shop, ~ store",,,
11,11,いい　［お］天気ですね。,いい　［お］ 天気[てんき]ですね。,"Nice weather, isn't it?",,,
11,11,います　［子どもが〜］,います　［ 子[こ]どもが〜］,to have [a child],,,
11,11,います［日本に～］,います［ 日本[にっほん]に~］,"to stay, be [in Japan]",,,
11,11,お出かけですか。,お 出[で]かけですか。,Are you going out?,,,
11,11,お願いします。,お 願[ねが]いします。,Please. (lit. ask for a favor),,,
11,11,かしこまりました。,かしこまりました。,"Certainly, (Sir/Madam).",,,
11,11,ちょっと　～まで。,ちょっと　~まで。,I'm just going to ~.,,,
11,11,みんな,みんな,"all, everything, everyone",,,
11,11,アイスクリーム,アイスクリーム,ice cream,,,
11,11,オーストラリア,オーストラリア,Australia,,,
11,11,クラス,クラス,class,,,
11,11,サンドイッチ,サンドイッチ,sandwich,,,
11,11,一つ,一[ひと]つ,one (used when counting things),,,
11,11,一人,一人[ひとり],one person,,,
11,11,七つ,七[なな]つ,seven (things),,,
11,11,三つ,三[みっ]つ,three (things),,,
11,11,九つ,九[ここの]つ,nine (things),,,
11,11,二つ,二[ふた]つ,two (things),,,
11,11,二人,二人[ふたり],two people,,,
11,11,五つ,五[いつ]つ,five (things),,,
11,11,全部で,全部[ぜんぶ]で,in total,,,
11,11,八つ,八[やっ]つ,eight things,,,
11,11,六つ,六[むっ]つ,six (things),,,
11,11,四つ,四[よっ]つ,four (things),,,
11,11,航空便　（エアマール）,航空[こうくう] 便[びん]　（エアマール）,airmail,,,
11,11,船便,船便[ふなびん],sea mail,,,
11,11,行って　きます。,行[い]って　きます。,See you later./So long. (lit. I'm going and coming back.),,,
11,11,行ってらっしゃい。,行[い]ってらっしゃい。,See you later./So long. (lit. Go and come back.),,,
11,11,～ぐらい,~ぐらい,about ~,,,
12,12,お帰りなさい。,お 帰[かえ]りなさい。,Welcome home.,,,
12,12,すき焼き,すき 焼[や]き,sukiyaki (beef and vegetable hot pot),,,
12,12,ただいま。,ただいま。,I'm home.,,,
12,12,てんぷら,てんぷら,tempura (seafood and vegetables deep fried in batter),,,
12,12,わあ、すごい　ひとですね。,わあ、すごい　ひとですね。,Wow! Look at all those people!,,,
12,12,シンガポール,シンガポール,Singapore,,,
12,12,パーティー,パーティー,party (～を　します：to give a party),,,
12,12,ホテル,ホテル,hotel,,,
12,12,ホンコン　（香港）,ホンコン　（ 香港[ほんこん]）,Hong Kong,,,
12,12,レモン,レモン,lemon,,,
12,12,刺身,刺身[さしみ],sashimi (sliced raw fish),,,
12,12,早い、速い,早[はや]い、 速[はや]い,"fast, early",,,
12,12,暖かい、温かい,暖[あたた]かい、 温[あたた]かい,warm,,,
12,12,生け花,生け花[いけばな],flower arrangement (～を　します：to practice flower arrangement),,,
12,12,疲れました。,疲[つか]れました。,I'm tired,,,
12,12,祇園祭,祇園祭[ぎおんまつり],the Gion Festival (the most famous festival in Kyoto),,,
13,13,ご　注　もんは？,ご　 注[ちゅう]　もんは？,May I take your order?,,,
13,13,そう　しましょう。,そう　しましょう。,Let's do that. (used when agreeing with someone's suggestion),,,
13,13,スキー,スキー,skiing (～を　します：to ski),,,
13,13,プール,プール,swimming pool,,,
13,13,別々に,別々[べつべつ]に,separately,,,
13,13,牛どん,牛[ぎゅう]どん,bowl of rice topped with beef,,,
13,13,～ごろ,~ごろ,about ~ (time),,,
14,14,あれ？,あれ？,Oh! Eh? (in surprise or wonder),,,
14,14,これで　お願いします。,これで　お 願[ねが]いします。,I'd like to pay with this.,,,
14,14,さあ,さあ,right (used when encouraging some course of action),,,
14,14,つけます,つけます,to turn on,,,
14,14,エアコン,エアコン,air conditioner,,,
14,14,コピーします,コピーします,to copy,,,
14,14,パスポート,パスポート,passport,,,
14,14,信号を　右へ　曲がって　ください。,信号[しんごう]を　 右[みぎ]へ　 曲[ま]がって　ください。,Turn right at the traffic lights.,,,
14,14,出ます［喫茶店を～］,出[で]ます［ 喫茶店[きっさてん]を~］,to go out [of a cafe],,,
14,14,止めます,止[と]めます,"to stop, park",,,
14,14,閉めます,閉[し]めます,"to close, shut",,,
14,14,開けます,開[あ]けます,to open,,,
15,15,カタログ,カタログ,catalogue,,,
15,15,ソフト,ソフト,software,,,
15,15,作ります、造ります,作[つく]ります、 造[つく]ります,"to make, produce",,,
15,15,市役所,市役所[しやくしょ],"municipal office, city hall",,,
15,15,時刻表,時刻[じこく] 表[ひょう],timetable,,,
15,15,独身,独身[どくしん],"single, unmarried",,,
15,15,製品,製品[せいひん],products,,,
16,16,あびます　［シャワーを～］,あびます　［シャワーを~］,to take [a shower],,,
16,16,おひきだしですか。,おひきだしですか。,Are you making a withdrawal?,,,
16,16,すごいですね。,すごいですね。,That's amazing!,,,
16,16,入れます,入[い]れます,"to put in, insert",,,
16,16,出ます　［大学を～］,出[で]ます　［ 大学[だいがく]を~］,to graduate from [university],,,
16,16,安保番号,安保[あんぽ] 番号[ばんごう],"personal identification number, PIN",,,
16,16,脊,脊,height,,,
16,16,［いいえ、］　まだまだです。,［いいえ、］　まだまだです。,"[No,] I still have a long way to go.",,,
17,17,お大事に。,お 大事[だいじ]に。,Take care of yourself. (said to people who are ill),,,
17,17,どう　しましたか。,どう　しましたか。,What's the matter?,,,
17,17,出かけます,出[で]かけます,to go out,,,
17,17,忘れます,忘[わす]れます,to forget,,,
17,17,２，３　日,２，３　 日[にち],two or three days,,,
17,17,２，３～,２，３~,two or three ~ (where ~ is a counter suffix),,,
17,17,［～が］　痛いです。,［~が］　 痛[いた]いです。,(I) have a pain [in my ~].,,,
17,17,～までに,~までに,"before ~, by ~ (indicating time limit)",,,
18,18,それは　おもしろいですね。,それは　おもしろいですね。,"That's interesting, isn't it?",,,
18,18,できます,できます,"to be able to, can",,,
18,18,へえ,へえ,What! Really! (used when expressing surprise),,,
18,18,ほんとうですか。,ほんとうですか。,Really?,,,
18,18,捨てます,捨[す]てます,to throw away,,,
18,18,故郷,故郷[ふるさと],Furusato (a song title meaning 'Home Town'),,,
18,18,集めます,集[あつ]めます,"to collect, gather",,,
19,19,かんぱい,かんぱい,Cheers!,,,
19,19,でも,でも,but,,,
19,19,ゴルフ,ゴルフ,golf (~を　します: to play golf),,,
19,19,ダイエット,ダイエット,diet (～を　します: to go on a diet),,,
19,19,一度,一度[いちど],once,,,
19,19,無理［な］,無理[むり]［な］,"excessive, impossible",,,
19,19,登ります、上ります,登[のぼ]ります、 上[のぼ]ります,"to climb, go up",,,
19,19,練習,練習[れんしゅう],practice (~[を] します: to practice),,,
19,19,葛飾北斉　(FIX),葛飾[かつしか] 北[きた] 斉[ひとし],a famous Edo-period woodblock artist and painter (1760-1849),,,
20,20,あっち,あっち,"that way, that place over there (an informal equivalent of あちら)",,,
20,20,ううん,ううん,no (an informal equivalent of いいえ),,,
20,20,うん,うん,yes (an informal equivalent of はい),,,
20,20,おなかが　いっぱいです,おなかが　いっぱいです,(I'm) full,,,
20,20,こっち,こっち,"this way, this place (an informal equivalent of こちら)",,,
20,20,そっち,そっち,"that way, that place near the listener (an informal equivalent of そちら)",,,
20,20,みんあで,みんあで,all together,,,
20,20,ビザ,ビザ,visa,,,
20,20,修理します,修理[しゅうり]します,to repair,,,
20,20,君,君[きみ],you (an informal equivalent of あなた used to address people of equal or lower status),,,
20,20,調べます,調[しら]べます,"to check, investigate",,,
20,20,～けど,~けど,"~, but (an informal equivalent of が)",,,
20,20,～君,~ 君[くん],Mr. (an informal equivalent of ～さん used to address people of equal or lower status; also often appended to boys' names),,,
21,21,うそ,うそ,lie,,,
21,21,ほんとう,ほんとう,true,,,
21,21,むだ［な］,むだ［な］,wasteful,,,
21,21,もう　帰らないと。。。,もう　 帰[かえ]らないと。。。,I have to get home now...,,,
21,21,やめます　［かいしゃを～］,やめます　［かいしゃを~］,"to quit or retire from work [a company], stop, give up",,,
21,21,アニメ,アニメ,anime (Japanese animation),,,
21,21,デザイン,デザイン,"design, artwork",,,
21,21,ニュース,ニュース,news,,,
21,21,マンガ,マンガ,comic book,,,
21,21,久しぶりでしね。,久[ひさ]しぶりでしね。,It's been a long time [since we last met].,,,
21,21,放送,放送[ほうそう],"announcement, broadcast",,,
21,21,気を　つけます,気[き]を　つけます,"to pay attention, take care",,,
21,21,物価,物価[ぶっか],[commodity] prices,,,
21,21,自動車,自動車[じどうしゃ],"car, automobile",,,
21,21,負けます,負[ま]けます,"to lose, be beaten",,,
21,21,～でも　飲みませんか。,~でも　 飲[の]みませんか。,How about drinking ~ or something?,,,
22,22,えーと,えーと,"well, let me see",,,
22,22,おめでとう　［ございます］。,おめでとう　［ございます］。,"Congratulations. (used on birthdays, at weddings, etc.)",,,
22,22,お探しですか。,お 探[さが]しですか。,Are you looking for ~?,,,
22,22,かけます　［めがねを～］,かけます　［めがねを~］,to put on [glasses],,,
22,22,でわ,でわ,"well then,",,,
22,22,わたしたち,わたしたち,we,,,
22,22,ケーキ,ケーキ,cake,,,
22,22,コート,コート,coat,,,
22,22,スーツ,スーツ,suit,,,
22,22,セーター,セーター,sweater,,,
22,22,ダイニングキッチン,ダイニングキッチン,kitching with a dining area,,,
22,22,ユーモア,ユーモア,humor,,,
22,22,ロボット,ロボット,robot,,,
22,22,和室,和室[わしつ],Japanese-style room,,,
22,22,押入れ,押入[おしい]れ,Japanese-style closet,,,
22,22,生まれます,生[う]まれます,to be born,,,
22,22,都合,都合[つごう],convenience,,,
23,23,なんかいも,なんかいも,many times,,,
23,23,サイズ,サイズ,size,,,
23,23,出ます［お釣りが～］,出[で]ます［お 釣[つ]りが~］,[change] to come out,,,
23,23,故障,故障[こしょう],breakdown (～します: to break down),,,
23,23,（障ります）［ドアに～］,（ 障[さわ]ります）［ドアに~］,to touch [a door],,,
24,24,おじいさん／おじちゃん,おじいさん／おじちゃん,"grandfather, old man",,,
24,24,おばあさん／おばあちゃん,おばあさん／おばあちゃん,"grandmother, old woman",,,
24,24,くれます,くれます,to give (me),,,
24,24,ホームステイ,ホームステイ,homestay,,,
25,25,こと,こと,"thing, matter (～の　こと: to thing about ~)",,,
25,25,どうぞ　お元気で。,どうぞ　お 元気[げんき]で。,Please take care of yourself. (said when expecting a long separation),,,
25,25,もし［～たら］,もし［~たら］,if,,,
25,25,チャンス,チャンス,chance,,,
25,25,ベトナム,ベトナム,Vietnam,,,
25,25,暇,暇[ひま],free time,,,
25,25,足ります,足[た]ります,"to be enough, be sufficient",,,
25,25,転勤,転勤[てんきん],transfer (～します: to be transferred to another office),,,
25,25,［いろいろ］お世話に　なりました。,［いろいろ］お 世話[せわ]に　なりました。,Thank you for everything you've done for me.,,,
26,26,〜弁,〜 弁[べん],~ dialect,,,
26,26,〜様,〜 様[さま],Mr. ~ / Mrs. ~ (respectful equivalent of 〜さん）,,,
26,26,あんな　〜,あんな　〜,~ like that (far from both the speaker and the listener),,,
26,26,こんな〜,こんな〜,~ like this,,,
26,26,ずいぶん,ずいぶん,"very, pretty",,,
26,26,そんな〜,そんな〜,~ like that (near the listener),,,
26,26,ガス,ガス,gas,,,
26,26,フリーマーケット,フリーマーケット,flea market,,,
26,26,ボランティア,ボランティア,volunteer,,,
26,26,国会議事堂,国会[こっかい] 議事堂[ぎじどう],the Diet Building,,,
26,26,宇宙ステーション,宇宙[うちゅう]ステーション,space station,,,
26,26,宇宙船,宇宙船[うちゅうせん],spaceship,,,
26,26,宇宙飛行士,宇宙[うちゅう] 飛行[ひこう] 士[し],astronaut,,,
26,26,平日,平日[へいじつ],weekday,,,
26,26,気分が　いい,気分[きぶん]が　いい,feel well,,,
26,26,気分が　惡い,気分[きぶん]が　惡い,to feel ill,,,
26,26,燃える　ごみ,燃[も]える　ごみ,burnable rubbish,,,
26,26,片づきます［荷物が〜］,片[かた]づきます［ 荷物[にもつ]が〜］,"[boxes] to be put in order, to tidy up",,,
26,26,瓶,瓶[びん],bottle,,,
26,26,盆踊り,盆踊[ぼんおど]り,Bon Festival dance,,,
26,26,直接,直接[ちょくせつ],directly,,,
26,26,缶,缶[かん],can,,,
26,26,置き場,置き場[おきば],place where something is put,,,
26,26,見ます（診ます）,見[み]ます（ 診[み]ます）,"to check, take a look",,,
26,26,遅れます［時間に〜］,遅[おく]れます［ 時間[じかん]に〜］,"to be late [for an appointment, etc.]",,,
26,26,運動会,運動会[うんどうかい],"athletic meeting, sports day",,,
27,27,〜しか,〜しか,only ~ (used with negatives),,,
27,27,〜後,〜 後[ご],after ~ (duration of time),,,
27,27,いつか,いつか,"one day, some day",,,
27,27,できます［道が〜］,できます［ 道[みち]が〜］,"[a road] to be made, be completed, come into existence",,,
27,27,はかの,はかの,other,,,
27,27,キッチン,キッチン,kitchen,,,
27,27,クリーニング,クリーニング,"(dry) cleaning, laundry",,,
27,27,パーティールーム,パーティールーム,party room,,,
27,27,ペット,ペット,pet,,,
27,27,ポケット,ポケット,pocket,,,
27,27,マンション,マンション,"condominium, apartment house, blocks of flats",,,
27,27,不思議［な］,不思議[ふしぎ]［な］,"fantastic, mysterious",,,
27,27,主人公,主人公[しゅじんこう],"hero, heroine",,,
27,27,付けます,付[つ]けます,"to attach, put on",,,
27,27,子どもたち,子[こ]どもたち,children,,,
27,27,建てます,建[た]てます,to build,,,
27,27,形,形[かたち],shape,,,
27,27,本棚,本棚[ほんだな],bookcase,,,
27,27,波,波[なみ],wave,,,
28,28,うーん,うーん,"well, let me see, hmm...",,,
28,28,お知らせ,お 知[し]らせ,notice,,,
28,28,それで,それで,and so,,,
28,28,それに,それに,in addition,,,
28,28,イベント,イベント,event,,,
28,28,ガム,ガム,chewing gum,,,
28,28,ゲーム,ゲーム,(computer) game,,,
28,28,ドラマ,ドラマ,drama,,,
28,28,ボーナス,ボーナス,bonus,,,
28,28,メモします,メモします,to take a memo,,,
28,28,人気,人気[にんき],popularity (［がくせいに］〜が　あります：to be popular [with students]),,,
28,28,偉い,偉[えら]い,"great, admirable",,,
28,28,力,力[ちから],power,,,
28,28,台所,台所[だいどころ],kitchen,,,
28,28,品物,品物[しなもの],goods,,,
28,28,土,土[ど],Saturday,,,
28,28,売れます ［パンが〜］,売[う]れます［パンが〜］,"to sell [bread], be sold",,,
28,28,小説,小説[しょうせつ],novel,,,
28,28,小説家,小説[しょうせつ] 家[か],novelist,,,
28,28,形,形[かたち],"form, shape",,,
28,28,日にち,日[ひ]にち,date,,,
28,28,熱心［な］,熱心[ねっしん]［な］,earnest,,,
28,28,色,色[いろ],color,,,
28,28,［ちょっと］お願いが　あるんですが。,［ちょっと］お 願[ねが]いが　あるんですが。,I have a [small] favor to ask.,,,
29,29,〜の　方,〜の　 方[ほう],direction of ~,,,
29,29,お先に　どうそ。,お 先[さき]に　どうそ。,"After you. / Go ahead, please.",,,
29,29,この　くらい,この　くらい,about this (big),,,
29,29,ふさます,ふさます,to wipe,,,
29,29,ガラス,ガラス,glass (material),,,
29,29,コップ,コップ,glass (vessel),,,
29,29,スピーチ,スピーチ,speech (〜を　します：to give/make a speech),,,
29,29,ポケット,ポケット,pocket,,,
29,29,レポーター,レポーター,reporter,,,
29,29,交番,交番[こうばん],police box,,,
29,29,今の　電車,今[いま]の　 電車[でんしゃ],the train which has just left,,,
29,29,付きます［ポケットが〜］,付[つ]きます［ポケットが〜］,[a pocket] to be attached,,,
29,29,倒れます,倒[たお]れます,to fall down,,,
29,29,割れます［コップが〜］,割[わ]れます［コップが〜］,"to break [a glass], smash, shatter",,,
29,29,取り替えます,取り替[とりか]えます,to change,,,
29,29,壊れます［いすが〜］,壊[こわ]れます［いすが〜］,to break [a chair],,,
29,29,外れます［ボタンが〜］,外[はず]れます［ボタンが〜］,[a button] to be undone,,,
29,29,忘れ物,忘れ物[わすれもの],"things left behind, lost property",,,
29,29,折れます［木が〜］,折[お]れます［ 木[き]が〜］,"to break [a tree], snap",,,
29,29,枝,枝[えだ],"branch, twig",,,
29,29,汚れます［服が〜］,汚[よご]れます［ 服[ふく]が〜］,to get dirty [clothes],,,
29,29,源氏物語,源氏物語[げんじものがたり],'The Tale of Genji' (a novel written by Murasaki Shikibu in the Heian Era),,,
29,29,燃えます,燃[も]えます,to burn,,,
29,29,片づけます,片[かた]づけます,"to put (things) in order, tidy up",,,
29,29,破れます［紙が〜］,破[やぶ]れます［ 紙[かみ]が〜］,to tear [paper],,,
29,29,確か,確[たし]か,I'm pretty sure,,,
29,29,網棚,網棚[あみだな],overhead rack,,,
29,29,覚えて　いません,覚[おぼ]えて　いません,I don't remember.,,,
29,29,返事,返事[へんじ],"reply, answer (〜を　します：to reply, answer)",,,
29,29,針,針[はり],hands (of a clock),,,
29,29,駅前,駅前[えきまえ],the area in front of a station,,,
29,29,［ああ、］よかった。,［ああ、］よかった。,"[Oh,] that's great! / Thank goodness! (used to express a feeling of relief)",,,
29,29,［お］ちゃわん,［お］ちゃわん,(rice) bowl,,,
30,30,〜とか、〜とか,〜とか、〜とか,"~, ~, and so on",,,
30,30,お知らせ,お 知[し]らせ,notice,,,
30,30,ごみ箱,ごみ 箱[ばこ],"trash can, dustbin",,,
30,30,すると,すると,"and, then",,,
30,30,そのままに します,そのままに　します,to leave things as they are,,,
30,30,まとめます,まとめます,"to put ~ together, put ~ in shape, sum up",,,
30,30,カレンダー,カレンダー,calendar,,,
30,30,ガイドブック,ガイドブック,guidebook,,,
30,30,ポスター,ポスター,poster,,,
30,30,ミーティング,ミーティング,meeting,,,
30,30,リュック,リュック,rucksack,,,
30,30,並べます,並[なら]べます,"to arrange, line up",,,
30,30,予定表,予定[よてい] 表[ひょう],schedule,,,
30,30,元の　所,元[もと]の　 所[ところ],original place,,,
30,30,夢を　見ます,夢[ゆめ]を　 見[み]ます,to dream,,,
30,30,嫌［な］,嫌[いや]［な］,"hateful, disagreeable",,,
30,30,懐中電灯,懐中[かいちゅう] 電灯[でんとう],"torch, flashlight",,,
30,30,戻します,戻[もど]します,"to return, put ~ back",,,
30,30,掛けます,掛[か]けます,to hang,,,
30,30,池,池[いけ],pond,,,
30,30,決めます,決[き]めます,to decide,,,
30,30,玄関,玄関[げんかん],"front door, porch, entrance hall",,,
30,30,目が　覚めます,目[め]が　 覚[さ]めます,to wake up,,,
